Nom;Pob
  04024-Benahadux ;4183
  04026-Benitagla ;78
  04027-Benizalón ;283
  04028-Bentarique ;258
  04029-Berja ;15174
  04030-Canjáyar ;1342
  04031-Cantoria ;3580
  04032-Carboneras ;7838
  04033-Castro de Filabres ;147
  04036-Chercos ;275
  04037-Chirivel ;1604
  04034-Cóbdar ;183
  04035-Cuevas del Almanzora ;13292
  04038-Dalías ;3979
  04902-Ejido, El ;85961
  04041-Enix ;437
  04043-Felix ;688
  04044-Fines ;2143
  04045-Fiñana ;2134
  04046-Fondón ;1020
  04047-Gádor ;3027
  04048-Gallardos, Los ;2973
  04049-Garrucha ;8577
  04050-Gérgal ;1093
  04051-Huécija ;515
  04052-Huércal de Almería ;16823
  04053-Huércal-Overa ;18530
  04054-Illar ;380
  04055-Instinción ;458
  04056-Laroya ;178
  04057-Láujar de Andarax ;1574
  04058-Líjar ;431
  04059-Lubrín ;1568
  04060-Lucainena de las Torres ;606
  04061-Lúcar ;772
  04062-Macael ;5676
  04063-María ;1285
  04064-Mojácar ;6825
  04903-Mojonera, La ;8963
  04065-Nacimiento ;501
  04066-Níjar ;28056
  04067-Ohanes ;669
  04068-Olula de Castro ;190
  04069-Olula del Río ;6259
  04070-Oria ;2428
  04071-Padules ;464
  04072-Partaloa ;673
  04073-Paterna del Río ;376
  04074-Pechina ;3860
  04075-Pulpí ;8762
  04076-Purchena ;1686
  04077-Rágol ;338
  04078-Rioja ;1374
  04079-Roquetas de Mar ;90623
  04080-Santa Cruz de Marchena ;254
  04081-Santa Fe de Mondújar ;448
  04082-Senés ;330
  04083-Serón ;2167
  04084-Sierro ;392
  04085-Somontín ;492
  04086-Sorbas ;2608
  04087-Suflí ;252
  04088-Tabernas ;3668
  04089-Taberno ;1000
  04090-Tahal ;396
  04091-Terque ;417
  04092-Tíjola ;3701
  04901-Tres Villas, Las ;615
  04093-Turre ;3346
  04094-Turrillas ;242
  04095-Uleila del Campo ;897
  04096-Urrácal ;336
  04097-Velefique ;268
  04098-Vélez-Blanco ;2035
  04099-Vélez-Rubio ;6767
  04100-Vera ;15108
  04101-Viator ;5698
  04102-Vícar ;24571
  04103-Zurgena ;3030
  05001-Adanero ;231
  05002-Adrada, La ;2640
  05005-Albornos ;205
  05007-Aldeanueva de Santa Cruz ;123
  05008-Aldeaseca ;262
  05010-Aldehuela, La ;173
  05012-Amavida ;147
  05013-Arenal, El ;1011
  05014-Arenas de San Pedro ;6671
  05015-Arevalillo ;92
  05016-Arévalo ;8172
  05017-Aveinte ;84
  05018-Avellaneda ;29
  05019-Ávila ;58358
  05021-Barco de Ávila, El ;2576
  05022-Barraco, El ;1968
  05023-Barromán ;196
  05024-Becedas ;236
  05025-Becedillas ;103
  05026-Bercial de Zapardiel ;221
  05027-Berlanas, Las ;330
  05029-Bernuy-Zapardiel ;131
  05030-Berrocalejo de Aragona ;51
  05033-Blascomillán ;197
  05034-Blasconuño de Matacabras ;15
  05035-Blascosancho ;117
  05036-Bohodón, El ;129
  05037-Bohoyo ;304
  05038-Bonilla de la Sierra ;129
  05039-Brabos ;49
  05040-Bularros ;69
  05041-Burgohondo ;1228
  05042-Cabezas de Alambre ;168
  05043-Cabezas del Pozo ;88
  05044-Cabezas del Villar ;261
  05045-Cabizuela ;98
  05046-Canales ;56
  05047-Candeleda ;5104
  05048-Cantiveros ;126
  05049-Cardeñosa ;454
  05051-Carrera, La ;201
  05052-Casas del Puerto ;100
  05053-Casasola ;78
  05054-Casavieja ;1507
  05055-Casillas ;704
  05056-Castellanos de Zapardiel ;97
  05057-Cebreros ;3232
  05058-Cepeda la Mora ;85
  05067-Chamartín ;92
  05059-Cillán ;110
  05060-Cisla ;118
  05061-Colilla, La ;331
  05062-Collado de Contreras ;192
  05063-Collado del Mirón ;35
  05064-Constanzana ;116
  05065-Crespos ;526
  05066-Cuevas del Valle ;516
  05903-Diego del Carpio ;161
  05069-Donjimeno ;82
  05070-Donvidas ;37
  05072-Espinosa de los Caballeros ;102
  05073-Flores de Ávila ;320
  05074-Fontiveros ;770
